City,Country,URL
Vienna,Austria,http://data.insideairbnb.com/austria/vienna/vienna/2021-12-08/data/listings.csv.gz
Prague,Czech Republic,http://data.insideairbnb.com/czech-republic/prague/prague/2021-12-18/data/listings.csv.gz
Copenhagen,Denmark,http://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2021-12-28/data/listings.csv.gz
Thessaloniki,Greece,http://data.insideairbnb.com/greece/central-macedonia/thessaloniki/2021-12-23/data/listings.csv.gz
Rome,Italy,http://data.insideairbnb.com/italy/lazio/rome/2021-12-08/data/listings.csv.gz
Trentino,Italy,http://data.insideairbnb.com/italy/trentino-alto-adige-s%C3%BCdtirol/trentino/2021-12-30/data/listings.csv.gz
Venice,Italy,http://data.insideairbnb.com/italy/veneto/venice/2021-12-05/data/listings.csv.gz
Amsterdam,Netherlands,http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2021-12-05/data/listings.csv.gz
Barcelona,Spain,http://data.insideairbnb.com/spain/catalonia/barcelona/2021-12-07/data/listings.csv.gz
Madrid,Spain,http://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2021-12-08/data/listings.csv.gz
Valencia,Spain,http://data.insideairbnb.com/spain/vc/valencia/2021-12-18/data/listings.csv.gz
Stockholm,Sweden,http://data.insideairbnb.com/sweden/stockholms-l%C3%A4n/stockholm/2021-12-28/data/listings.csv.gz
Vaud,Switzerland,http://data.insideairbnb.com/switzerland/vd/vaud/2021-12-04/data/listings.csv.gz
Zurich,Switzerland,http://data.insideairbnb.com/switzerland/z%C3%BCrich/zurich/2021-12-28/data/listings.csv.gz
London,United Kingdom,http://data.insideairbnb.com/united-kingdom/england/london/2021-12-07/data/listings.csv.gz
Manchester,United Kingdom,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-12-23/data/listings.csv.gz
