"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","city"
15883,"b&b near Old Danube river",62142,"Eva",NA,"Donaustadt",48.24262,16.42767,"Hotel room",87,1,11,"2020-02-19",0.15,4,1,"vienna"
38768,"central cityapartement- wifi- nice neighbourhood",166283,"Hannes",NA,"Leopoldstadt",48.21924,16.37831,"Entire home/apt",55,3,324,"2020-10-10",2.67,3,149,"vienna"
40625,"Near Palace Schönbrunn, Apt. 1",175131,"Ingela",NA,"Rudolfsheim-F",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"vienna"
23163,"Quiet 1BR directly in the Centre, Air-conditioned 12",5282,"Klara",NA,"Praha 1",50.08229,14.41552,"Entire home/apt",1906,1,20,"2020-08-22",0.16,50,158,"prague"
23169,"M302-Cozy Serviced Studio in Center",5282,"Klara",NA,"Praha 1",50.08898,14.42438,"Entire home/apt",1144,1,82,"2020-12-17",0.62,50,61,"prague"
26748,"Apartment Great LETNA & Terrace",113902,"Daniel+Bea",NA,"Praha 7",50.10011,14.42567,"Entire home/apt",2756,3,357,"2020-09-29",2.79,3,36,"prague"
26755,"Central Prague Old Town Top Floor",113902,"Daniel+Bea",NA,"Praha 1",50.08569,14.43344,"Entire home/apt",2093,3,253,"2020-11-27",3.56,3,256,"prague"
30762,"R23-Elegant Serviced 86m2 | Center",5282,"Klara",NA,"Praha 1",50.08821,14.42623,"Entire home/apt",3381,1,12,"2019-11-04",0.1,50,61,"prague"
40726,"Classy Studio, ART NOUVEAU house",174245,"Suzanna",NA,"Praha 3",50.07912,14.45373,"Entire home/apt",1178,2,97,"2019-12-30",0.77,3,364,"prague"
40728,"Prime Location, Elegant Studio!",174245,"Suzanna",NA,"Praha 3",50.07871,14.45213,"Entire home/apt",1177,2,120,"2020-03-02",0.94,3,2,"prague"
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,"Victoria",NA,"Praha 1",50.08365,14.41409,"Entire home/apt",2486,3,321,"2020-01-03",2.49,1,365,"prague"
49874,"Red Flavour by Ruterra",227945,"Alex And Kate",NA,"Praha 2",50.07137,14.43274,"Entire home/apt",13553,3,175,"2020-01-11",1.38,112,9,"prague"
